name,phone,principal_contact,url,address,accreditation
Progressive Medical Billing,+12107331802,Leticia A. Cantu (Owner),https://www.bbb.org/us/tx/san-antonio/profile/billing-services/progressive-medical-billing-0825-90020942,"6655 First Park Ten Blvd Ste 216, San Antonio, TX 78213-4304",Accredited
Momentum Billing,+18668756527,N/A,https://www.bbb.org/us/ca/san-diego/profile/medical-billing/momentum-billing-1126-172017754,"13400 Sabre Springs Pkwy #150, San Diego, CA 92128",Non-Accredited
Centerline Medical Billing,+18008285133,Patrick Mahoney (Owner),https://www.bbb.org/us/ca/aliso-viejo/profile/medical-billing/centerline-medical-billing-1126-1000116438,"Aliso Viejo, CA 92653-4642",Accredited
Compass Billing,+13037131300,Ellen E. Stewart (Registered Agent),https://www.bbb.org/us/co/greenwood-village/profile/medical-billing/compass-billing-1296-90146804,"5350 Dtc Pkwy Ste 304, Greenwood Village, CO 80111",Non-Accredited
Matrix Medical Billing,+18888343477,Christian Burris (Member),https://www.bbb.org/us/az/mesa/profile/billing-services/matrix-medical-billing-1126-97026964,"2135 E. University Drive #120, Mesa, AZ 85213-8337",Non-Accredited
Medical Billing Partners,+14024135394,Taylor Santos (Owner),https://www.bbb.org/us/ne/lincoln/profile/medical-billing/medical-billing-partners-0714-1000061239,"Lincoln, NE 68505-0201",Non-Accredited
Springs Medical Billing,+17194008222,Christina Boyce (Owner),https://www.bbb.org/us/co/colorado-springs/profile/medical-billing/springs-medical-billing-0785-1000007536/addressId/54182,"PO Box 64258, Colorado Springs, CO 80962-4258",Non-Accredited
Veracity Medical Billing,+13175203555,Sharon Gall (President),https://www.bbb.org/us/in/zionsville/profile/medical-billing/veracity-medical-billing-0382-90050513,"220 South Elm Street, Zionsville, IN 46077",Non-Accredited
Midwest Medical Billing,+16145771077,Kelly Schaffer Rahe (President),https://www.bbb.org/us/oh/reynoldsburg/profile/medical-billing/midwest-medical-billing-0302-11006119,"6400 E Main St Ste 201, Reynoldsburg, OH 43068-2348",Non-Accredited
Specialized Medical Billing,+16144618154,Adrianne H. Nittala (Co-Owner),https://www.bbb.org/us/oh/worthington/profile/medical-billing/specialized-medical-billing-0302-70095304,"330 E Wilson Bridge Rd Ste 100, Worthington, OH 43085-6310",Accredited
